index,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,animal_Type,Sex_upon_Outcome,Age_upon_Outcome,Breed,Color,Medicine
855,,9/1/2016 9:26,9/1/2016 9:26,7/14/2016,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Black,Erythromycin
856,,4/5/2014 13:21,4/5/2014 13:21,11/30/2013,Transfer,Partner,Dog,Neutered Male,4 months,Whippet Mix,Black,Metronidazole
857,,3/13/2016 18:48,3/13/2016 18:48,3/13/2015,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,Enrofloxacin
858,Harley,12/13/2016 12:50,12/13/2016 12:50,3/23/2008,Adoption,Foster,Dog,Spayed Female,8 years,German Shepherd Mix,Sable,Florfenicol
859,,4/23/2017 19:01,4/23/2017 19:01,4/6/2017,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,Oxygen
860,*Lacey,10/9/2015 8:01,10/9/2015 8:01,7/25/2015,Adoption,Foster,Dog,Spayed Female,2 months,Catahoula Mix,Blue Merle/White,xylazine
861,*Fara,8/30/2017 11:16,8/30/2017 11:16,6/4/2016,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,medetomidine
862,Creed,4/17/2016 15:50,4/17/2016 15:50,9/16/2014,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Tan,yohimbine
863,Boing,5/23/2016 16:06,5/23/2016 16:06,7/23/2015,Return to Owner,,Dog,Intact Male,10 months,Weimaraner Mix,Silver/Blue,tolazoline
864,*Greta,4/2/2014 15:48,4/2/2014 15:48,3/26/2011,Adoption,,Dog,Spayed Female,3 years,Dachshund Wirehair Mix,Tricolor,Anticholinergic
865,*Anastasia,10/11/2016 9:22,10/11/2016 9:22,8/4/2016,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico/White,Lidocaine
866,Tiger,12/28/2018 19:38,12/28/2018 19:38,9/18/2014,Adoption,,Dog,Neutered Male,4 years,Plott Hound Mix,Brown Brindle,Adrenaline
867,*Elmer,11/29/2014 17:59,11/29/2014 17:59,10/2/2010,Transfer,Partner,Dog,Neutered Male,4 years,Pit Bull Mix,Red/White,anaesthetic
868,*Redford,7/5/2016 14:31,7/5/2016 14:31,6/30/2015,Transfer,Partner,Dog,Intact Male,1 year,German Shepherd Mix,Tan,midazolam
869,Dexter,2/21/2014 18:47,2/21/2014 18:47,8/10/2011,Transfer,Partner,Dog,Neutered Male,2 years,German Shorthair Pointer Mix,Black/Blue Merle,inflammatory
870,Spud,9/29/2014 17:49,9/29/2014 17:49,2/25/2014,Adoption,,Dog,Neutered Male,7 months,Bull Terrier Mix,White/Black,Opioids
871,*Chewie,5/26/2017 17:24,5/26/2017 17:24,5/17/2015,Adoption,,Dog,Neutered Male,2 years,Anatol Shepherd Mix,Sable,Crystalloid
872,*Douglas,2/1/2017 9:23,2/1/2017 9:23,7/21/2005,Adoption,Foster,Dog,Neutered Male,11 years,Chihuahua Shorthair Mix,Tricolor/Black,Potassium chloride
873,Lola,2/3/2014 17:19,2/3/2014 17:19,2/3/2012,Return to Owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White,gluconate
874,Rooster,9/6/2016 17:35,9/6/2016 17:35,3/1/2016,Adoption,,Dog,Neutered Male,6 months,Catahoula Mix,Brown Brindle/White,mannitol
875,Sadie,12/16/2018 16:20,12/16/2018 16:20,1/31/2018,Adoption,,Dog,Spayed Female,10 months,German Shepherd Mix,Tan/Black,Dextrose
876,Jackie,12/13/2015 18:28,12/13/2015 18:28,11/10/2008,Return to Owner,,Dog,Spayed Female,7 years,Australian Cattle Dog Mix,Blue Merle/White,Heparin
877,,5/7/2018 13:05,5/7/2018 13:05,5/6/2017,Transfer,Partner,Other,Unknown,1 year,Guinea Pig,Calico,Vitamin K25
878,Hopper,3/25/2015 11:26,3/25/2015 11:26,3/22/2015,Transfer,Partner,Dog,Intact Male,3 days,Lhasa Apso Mix,White/Brown,isoflurane
879,Oliver,6/25/2016 17:41,6/25/2016 17:41,4/21/2016,Transfer,Partner,Dog,Intact Male,2 months,Dachshund Longhair Mix,Tricolor,alfaxalone
880,Joy,4/20/2014 16:21,4/20/2014 16:21,4/20/2005,Return to Owner,,Dog,Spayed Female,9 years,Beagle Mix,White/Tan,propofol
881,,6/11/2014 17:11,6/11/2014 17:11,5/27/2014,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue/White,hydroxyzine
882,,10/8/2015 13:56,10/8/2015 13:56,9/7/2015,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,Colloid
883,*Happy,1/16/2019 15:41,1/16/2019 15:41,4/11/2018,Transfer,Partner,Dog,Intact Male,9 months,Labrador Retriever Mix,Chocolate,emulsions
884,,6/10/2017 14:13,6/10/2017 14:13,4/22/2017,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Tortie,Amoxicillin
885,*Isis,9/22/2018 12:31,9/22/2018 12:31,3/10/2018,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Orange Tabby/White,Clindamycin
886,*Aspen,7/16/2016 15:11,7/16/2016 15:11,3/28/2016,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/Black,Amoxicillin
887,Nia,1/15/2016 17:31,1/15/2016 17:31,7/7/2015,Adoption,,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White,Ampicillin
888,*Leona,7/7/2017 17:21,7/7/2017 17:21,7/3/2015,Adoption,,Cat,Spayed Female,2 years,Siamese Mix,Blue Point,Cefazolin
889,*Pablo,4/9/2018 16:24,4/9/2018 16:24,3/30/2010,Adoption,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Brown/White,sulfonamide
890,*Yoshi,8/3/2016 17:15,8/3/2016 17:15,7/29/2015,Adoption,,Dog,Spayed Female,1 year,Beagle Mix,White/Tan,Doxycycline
891,*Meredith,3/13/2017 16:24,3/13/2017 16:24,3/9/2016,Transfer,Partner,Dog,Intact Female,1 year,Labrador Retriever Mix,Yellow,Erythromycin
892,,11/26/2017 16:13,11/26/2017 16:13,7/5/2017,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Blue Tabby,Metronidazole
893,Angel,5/10/2015 17:21,5/10/2015 17:21,11/25/2006,Return to Owner,,Dog,Spayed Female,8 years,Vizsla,Red,Enrofloxacin
894,Dulcinea,12/1/2017 18:10,12/1/2017 18:10,3/21/2017,Adoption,,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Black/Tricolor,Florfenicol
895,*Annie,5/5/2014 15:16,5/5/2014 15:16,10/24/2011,Transfer,Partner,Dog,Spayed Female,2 years,Pembroke Welsh Corgi/Australian Cattle Dog,Tan/White,Oxygen
896,*Mr Tibbs,6/24/2018 16:41,6/24/2018 16:41,6/17/2017,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,xylazine
897,,2/19/2014 11:48,2/19/2014 11:48,2/19/2013,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown/Black,medetomidine
898,,5/10/2017 12:55,5/10/2017 12:55,7/8/2016,Transfer,Partner,Dog,Neutered Male,10 months,Tibetan Spaniel Mix,Black/White,yohimbine
899,*Lira,7/23/2017 13:32,7/23/2017 13:32,7/15/2015,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico/Orange,tolazoline
900,Rylie,3/26/2017 16:17,3/26/2017 16:17,8/17/2014,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Chocolate/White,Anticholinergic
901,Mcnugget,1/22/2014 17:41,1/22/2014 17:41,9/7/2013,Adoption,,Dog,Spayed Female,4 months,Chihuahua Shorthair/Dachshund,White/Black,Lidocaine
902,*Murphy,7/2/2017 15:15,7/2/2017 15:15,6/5/2017,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Cream Tabby,Adrenaline
903,Sophie,6/17/2016 9:50,6/17/2016 9:50,3/18/2010,Adoption,,Dog,Spayed Female,6 years,Pit Bull Mix,White/Black,anaesthetic
904,Mina,9/1/2014 14:11,9/1/2014 14:11,3/1/2014,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Blue,midazolam
905,,12/27/2017 11:43,12/27/2017 11:43,12/1/2017,Died,In Foster,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,inflammatory
906,,4/27/2014 12:07,4/27/2014 12:07,4/12/2014,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black/White,Opioids
907,*Mikey,7/9/2018 16:25,7/9/2018 16:25,5/21/2016,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,Crystalloid
908,Novio,4/26/2014 15:43,4/26/2014 15:43,2/19/2014,Adoption,,Cat,Intact Male,2 months,Domestic Medium Hair Mix,Orange Tabby,Potassium chloride
909,Ricky,5/11/2018 13:36,5/11/2018 13:36,4/18/2016,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue Tabby,gluconate
910,,8/19/2016 16:28,8/19/2016 16:28,7/28/2016,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Medium Hair Mix,Torbie,mannitol
911,,7/25/2018 0:00,7/25/2018 0:00,5/14/2018,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,Dextrose
912,Han,8/2/2017 18:11,8/2/2017 18:11,7/18/2015,Return to Owner,,Dog,Intact Male,2 years,Australian Cattle Dog,Black/White,Heparin
913,*Michonne,8/6/2014 14:23,8/6/2014 14:23,6/29/2014,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,Vitamin K26
914,,8/30/2014 9:00,8/30/2014 9:00,3/29/2014,Transfer,SCRP,Cat,Intact Male,5 months,Siamese Mix,Seal Point,isoflurane
915,*Rebel,10/16/2017 15:57,10/16/2017 15:57,4/22/2017,Transfer,Partner,Dog,Spayed Female,5 months,Black Mouth Cur Mix,Tan,alfaxalone
916,,1/8/2015 12:38,1/8/2015 12:38,12/22/2014,Return to Owner,,Dog,Intact Male,2 weeks,Pit Bull Mix,Black/White,propofol
917,*Buck,5/1/2016 14:48,5/1/2016 14:48,3/22/2013,Adoption,,Dog,Neutered Male,3 years,Rottweiler Mix,Black/Brown,hydroxyzine
918,Happy,5/22/2016 13:51,5/22/2016 13:51,5/20/2005,Transfer,Partner,Dog,Intact Female,11 years,Rat Terrier Mix,White/Black,Colloid
919,,9/18/2017 13:14,9/18/2017 13:14,5/18/2017,Euthanasia,Suffering,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby,emulsions
920,*Flynn,10/13/2015 14:35,10/13/2015 14:35,7/7/2015,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,Amoxicillin
921,*Juliet,6/30/2014 18:17,6/30/2014 18:17,4/5/2014,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,Clindamycin
922,Louise,4/8/2016 14:13,4/8/2016 14:13,3/28/2015,Return to Owner,,Dog,Spayed Female,1 year,Rat Terrier Mix,Tricolor,Amoxicillin
923,,8/21/2016 17:41,8/21/2016 17:41,4/1/2016,Adoption,,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Brown/White,Ampicillin
924,Dro,4/30/2018 18:07,4/30/2018 18:07,7/17/2015,Return to Owner,,Dog,Intact Male,2 years,Pit Bull Mix,Brown/White,Cefazolin
925,*Ollie,7/28/2018 15:08,7/28/2018 15:08,6/11/2017,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Golden Retriever,White,sulfonamide
926,Zeus,12/1/2013 18:09,12/1/2013 18:09,11/8/2010,Adoption,,Dog,Neutered Male,3 years,Great Pyrenees Mix,White,Doxycycline
927,Delilah,12/7/2018 16:31,12/7/2018 16:31,5/7/2018,Adoption,Foster,Dog,Spayed Female,7 months,Beagle Mix,Brown/White,Erythromycin
928,,12/12/2015 15:04,12/12/2015 15:04,10/16/2015,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby/White,Metronidazole
929,*Quest,6/1/2014 11:11,6/1/2014 11:11,2/14/2008,Transfer,Partner,Dog,Spayed Female,6 years,Pit Bull Mix,Brown/White,Enrofloxacin
930,,1/7/2017 9:00,1/7/2017 9:00,1/6/2016,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,Florfenicol
931,,5/19/2014 12:49,5/19/2014 12:49,5/16/2007,Transfer,Partner,Dog,Neutered Male,7 years,Lhasa Apso Mix,Brown/White,Oxygen
932,*Twix,7/8/2014 11:16,7/8/2014 11:16,4/17/2014,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White,xylazine
933,,5/21/2014 12:25,5/21/2014 12:25,5/21/2011,Euthanasia,Rabies Risk,Other,Unknown,3 years,Raccoon Mix,Black/Gray,medetomidine
934,*Freckles,10/7/2017 16:43,10/7/2017 16:43,8/18/2015,Adoption,,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Brown Merle,yohimbine
935,Toby,10/27/2016 16:38,10/27/2016 16:38,10/21/2014,Adoption,,Dog,Neutered Male,2 years,Dachshund Mix,Brown,tolazoline
936,Chu-Chu,7/8/2018 17:01,7/8/2018 17:01,7/5/2014,Adoption,,Dog,Spayed Female,4 years,Chihuahua Shorthair,Black/Tan,Anticholinergic
937,,12/30/2016 9:00,12/30/2016 9:00,5/29/2016,Transfer,SCRP,Cat,Spayed Female,7 months,Domestic Medium Hair,Blue,Lidocaine
938,*Cupcake,12/6/2015 12:02,12/6/2015 12:02,11/16/2015,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Cream Tabby,Adrenaline
939,Maggie,2/8/2018 18:26,2/8/2018 18:26,2/8/2017,Return to Owner,,Dog,Unknown,1 year,Yorkshire Terrier Mix,White/Black,anaesthetic
940,*Francis,9/22/2016 18:25,9/22/2016 18:25,4/25/2016,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black,midazolam
941,Tbd,6/17/2017 18:52,6/17/2017 18:52,9/30/2016,Adoption,,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Blue Tabby,inflammatory
942,,6/15/2014 15:48,6/15/2014 15:48,3/24/2014,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Cream Tabby,Opioids
943,,7/8/2014 17:01,7/8/2014 17:01,5/24/2014,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue,Crystalloid
944,Starbucks,7/30/2018 12:22,7/30/2018 12:22,7/24/2016,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,Potassium chloride
945,Polly,10/17/2013 13:32,10/17/2013 13:32,3/19/2004,Return to Owner,,Dog,Spayed Female,9 years,Blue Lacy Mix,Tan,gluconate
946,Racco,5/15/2015 14:06,5/15/2015 14:06,5/14/2003,Return to Owner,,Dog,Intact Male,12 years,Labrador Retriever/Beagle,Black,mannitol
947,,6/19/2014 17:11,6/19/2014 17:11,4/13/2014,Transfer,Partner,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/Tan,Dextrose
948,Phobos,1/2/2019 17:56,1/2/2019 17:56,9/14/2015,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,White/Black,Heparin
949,Charlie,10/16/2013 17:08,10/16/2013 17:08,10/14/2008,Adoption,,Dog,Neutered Male,5 years,Miniature Poodle Mix,Apricot,Vitamin K27
950,Simba,3/23/2017 16:45,3/23/2017 16:45,3/6/2016,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue/White,isoflurane
951,Cookies,2/13/2014 19:03,2/13/2014 19:03,8/12/2012,Return to Owner,,Dog,Spayed Female,1 year,Pointer Mix,White/Black,alfaxalone
952,Max,6/26/2017 22:50,6/26/2017 22:50,4/27/2017,Adoption,,Dog,Neutered Male,1 month,English Foxhound Mix,Black/White,propofol
953,,1/8/2016 18:46,1/8/2016 18:46,12/29/2014,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Orange Tabby,hydroxyzine
954,Jax,10/15/2016 17:08,10/15/2016 17:08,9/2/2013,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black/White,Colloid
955,*Allie,10/2/2013 18:58,10/2/2013 18:58,1/14/2013,Adoption,,Dog,Spayed Female,8 months,Bulldog/Australian Cattle Dog,Black/White,emulsions
956,Fetty,5/8/2015 16:37,5/8/2015 16:37,3/4/2015,Adoption,,Dog,Neutered Male,2 months,Miniature Pinscher/Chihuahua Shorthair,Tricolor,Amoxicillin
957,Lil Annie,11/28/2018 14:14,11/28/2018 14:14,6/14/2007,Return to Owner,,Dog,Spayed Female,11 years,Chihuahua Shorthair/Dachshund,White/Tan,Clindamycin
958,Pepita,11/27/2015 17:38,11/27/2015 17:38,10/12/2014,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,Amoxicillin
959,*Rust,8/3/2014 16:10,8/3/2014 16:10,5/25/2014,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Ampicillin
960,Jazzmen,4/1/2014 11:14,4/1/2014 11:14,4/1/2001,Return to Owner,,Dog,Intact Female,13 years,Yorkshire Terrier Mix,Tan/Silver,Cefazolin
961,Peanut,6/15/2015 18:09,6/15/2015 18:09,4/12/2005,Adoption,,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Tan,sulfonamide
962,,7/3/2016 17:16,7/3/2016 17:16,4/2/2016,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,Doxycycline
963,Copper,10/26/2013 17:41,10/26/2013 17:41,12/26/2007,Return to Owner,,Dog,Neutered Male,5 years,Bullmastiff Mix,Brown Brindle/White,Erythromycin
964,,3/1/2014 17:25,3/1/2014 17:25,2/1/2014,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Brown/Black,Metronidazole
965,,9/12/2014 17:29,9/12/2014 17:29,3/8/2012,Adoption,,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Red Merle/White,Enrofloxacin
966,,7/23/2018 18:05,7/23/2018 18:05,3/19/2018,Transfer,Snr,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby/White,Florfenicol
967,,12/17/2014 9:00,12/17/2014 9:00,6/16/2014,Transfer,SCRP,Cat,Intact Female,6 months,Domestic Shorthair Mix,Calico,Oxygen
968,,9/19/2018 19:12,9/19/2018 19:12,9/4/2018,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Torbie/White,xylazine
969,,11/19/2013 18:58,11/19/2013 18:58,10/1/2013,Transfer,Partner,Dog,Intact Male,1 month,German Shepherd Mix,Black/Tan,medetomidine
970,,8/7/2017 17:51,8/7/2017 17:51,5/16/2017,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White,yohimbine
971,,4/4/2018 19:30,4/4/2018 19:30,5/27/2017,Adoption,,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Brown Tabby,tolazoline
972,Paxton,6/22/2017 9:16,6/22/2017 9:16,6/20/2011,Euthanasia,Rabies Risk,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Brown Tabby,Anticholinergic
973,Periwiggles,1/30/2016 0:00,1/30/2016 0:00,12/27/2010,Adoption,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Blue,Lidocaine
974,Blue,5/6/2016 18:19,5/6/2016 18:19,10/25/2015,Return to Owner,,Dog,Neutered Male,6 months,Pit Bull Mix,Fawn/White,Adrenaline
975,Pinky,9/23/2018 13:42,9/23/2018 13:42,9/23/2011,Return to Owner,,Dog,Intact Male,7 years,Chihuahua Shorthair Mix,Cream,anaesthetic
976,*Maddy,3/22/2017 14:48,3/22/2017 14:48,5/21/2015,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/Black,midazolam
977,Matilda,1/14/2019 17:13,1/14/2019 17:13,1/14/2017,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico,inflammatory
978,,4/17/2016 19:24,4/17/2016 19:24,3/27/2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby,Opioids
979,Lola,6/27/2017 13:54,6/27/2017 13:54,6/26/2014,Return to Owner,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White,Crystalloid
980,,11/9/2017 14:46,11/9/2017 14:46,9/6/2017,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue,Potassium chloride
981,,5/8/2018 16:23,5/8/2018 16:23,4/18/2018,Transfer,Partner,Dog,Intact Female,2 weeks,Labrador Retriever Mix,Black/White,gluconate
982,Dually,11/5/2015 13:29,11/5/2015 13:29,11/5/1999,Return to Owner,,Dog,Spayed Female,16 years,Pit Bull Mix,White/Brown,mannitol
983,Piper,12/9/2016 17:14,12/9/2016 17:14,10/7/2016,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Tan/White,Dextrose
984,Niko,4/23/2014 17:13,4/23/2014 17:13,3/22/2003,Return to Owner,,Dog,Neutered Male,11 years,Rottweiler,Black/Brown,Heparin
985,Red,4/13/2017 11:24,4/13/2017 11:24,4/12/2007,Return to Owner,,Dog,Intact Male,10 years,German Shepherd Mix,Red/White,Vitamin K28
986,Vangogh,1/4/2015 16:27,1/4/2015 16:27,12/8/2013,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan,isoflurane
987,Cyrano,8/23/2014 17:04,8/23/2014 17:04,8/23/2011,Return to Owner,,Dog,Neutered Male,3 years,Tibetan Spaniel Mix,White/Buff,alfaxalone
988,,3/29/2018 18:59,3/29/2018 18:59,1/30/2018,Adoption,Foster,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White,propofol
989,Buddy,2/4/2015 17:20,2/4/2015 17:20,3/26/2008,Return to Owner,,Dog,Neutered Male,6 years,Pit Bull Mix,White/Chocolate,hydroxyzine
990,*Fiona,1/11/2014 13:25,1/11/2014 13:25,2/4/2013,Adoption,,Dog,Spayed Female,11 months,Doberman Pinsch Mix,Brown/Tan,Colloid
991,,11/17/2015 17:41,11/17/2015 17:41,11/17/2014,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown,emulsions
992,*Xander,5/23/2016 0:00,5/23/2016 0:00,4/28/2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,Amoxicillin
993,Sweetie,3/19/2018 16:46,3/19/2018 16:46,3/15/2016,Adoption,,Dog,Spayed Female,2 years,Pug Mix,Fawn,Clindamycin
994,,5/31/2014 16:31,5/31/2014 16:31,3/16/2014,Transfer,Partner,Dog,Intact Female,2 months,German Shepherd,Black/Tan,Amoxicillin
995,,10/27/2013 16:30,10/27/2013 16:30,8/8/2013,Transfer,Partner,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,White/Chocolate,Ampicillin
996,Maxine,7/27/2014 11:45,7/27/2014 11:45,5/29/2014,Adoption,Foster,Dog,Spayed Female,1 month,Chihuahua Shorthair Mix,Brown,Cefazolin
997,Mikey,11/5/2018 11:49,11/5/2018 11:49,7/1/2016,Return to Owner,,Dog,Neutered Male,2 years,Great Pyrenees Mix,White,sulfonamide
998,*Pepper,4/1/2015 12:57,4/1/2015 12:57,3/25/2007,Transfer,Partner,Cat,Intact Female,8 years,Domestic Shorthair Mix,Black/White,Doxycycline
999,*Jackson,10/1/2015 11:48,10/1/2015 11:48,9/26/2007,Transfer,Partner,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Orange Tabby,Erythromycin
1000,*Sirrus,3/29/2018 18:48,3/29/2018 18:48,1/9/2017,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Alaskan Husky,White,Metronidazole
1001,,4/18/2014 12:53,4/18/2014 12:53,4/18/2013,Euthanasia,Suffering,Other,Intact Male,1 year,Raccoon,Black/Gray,Enrofloxacin
1002,Reflection,5/25/2016 16:51,5/25/2016 16:51,5/14/2015,Return to Owner,,Cat,Spayed Female,1 year,Domestic Longhair Mix,Black,Florfenicol
1003,,9/21/2017 8:15,9/21/2017 8:15,9/5/2017,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico,Oxygen
1004,Yuki,1/5/2016 18:13,1/5/2016 18:13,12/31/2010,Adoption,,Cat,Neutered Male,5 years,Domestic Longhair Mix,White,xylazine
1005,Nugget,9/6/2016 0:00,9/6/2016 0:00,4/29/2014,Transfer,Partner,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Silver/Brown,medetomidine
1006,,12/15/2013 18:01,12/15/2013 18:01,12/15/2011,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon Mix,Black/Gray,yohimbine
1007,Xena,11/26/2016 17:53,11/26/2016 17:53,11/19/2014,Return to Owner,,Dog,Spayed Female,2 years,Labrador Retriever/Whippet,Black/White,tolazoline
1008,Teddy,11/25/2015 12:09,11/25/2015 12:09,11/21/2013,Return to Owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/White,Anticholinergic
1009,Rooster,7/26/2018 19:04,7/26/2018 19:04,9/23/2015,Adoption,,Dog,Neutered Male,2 years,Bluetick Hound Mix,Blue Tick,Lidocaine
1010,*Solomon,1/21/2017 16:52,1/21/2017 16:52,9/21/2005,Adoption,,Cat,Neutered Male,11 years,Domestic Shorthair Mix,Blue/White,Adrenaline
1011,Zeus,11/2/2016 12:10,11/2/2016 12:10,11/1/2014,Return to Owner,,Dog,Intact Male,2 years,Pit Bull Mix,White/Brown,anaesthetic
1012,Starla,7/13/2015 17:57,7/13/2015 17:57,6/29/2014,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black,midazolam
1013,*Lenny,6/4/2016 14:04,6/4/2016 14:04,3/21/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair,Black/White,inflammatory
1014,,11/9/2018 11:11,11/9/2018 11:11,5/5/2018,Transfer,Snr,Cat,Unknown,6 months,Domestic Shorthair Mix,Black,Opioids
1015,Banksy,11/18/2018 15:28,11/18/2018 15:28,3/10/2011,Return to Owner,,Dog,Neutered Male,7 years,Pit Bull Mix,White/Tan,Crystalloid
1016,*Zelda,7/18/2015 17:20,7/18/2015 17:20,4/11/2015,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,Potassium chloride
1017,Luke,3/21/2016 14:13,3/21/2016 14:13,8/6/2015,Transfer,Partner,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Black,gluconate
1018,,11/8/2014 7:31,11/8/2014 7:31,10/24/2011,Adoption,,Dog,Spayed Female,3 years,Staffordshire Mix,Chocolate/White,mannitol
1019,Lucy,11/11/2018 15:51,11/11/2018 15:51,5/15/2011,Return to Owner,,Dog,Spayed Female,7 years,Labrador Retriever Mix,Cream/White,Dextrose
1020,Dalton,7/6/2014 16:51,7/6/2014 16:51,5/29/2013,Adoption,,Dog,Neutered Male,1 year,Manchester Terrier/Beagle,Black/Brown,Heparin
1021,Sierra,10/10/2013 17:31,10/10/2013 17:31,7/16/2013,Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Black/Tan,Vitamin K29
1022,,1/17/2019 10:32,1/17/2019 10:32,1/12/2015,Transfer,Snr,Cat,Intact Female,4 years,Domestic Shorthair Mix,Black/White,isoflurane
